,Country Name,Country Code,Indicator Name,Indicator Code,Year,Value,HDI
87,Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,1990,21650000000.0,..
89,Belarus,BLR,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,22.94688222,..
90,Belgium,BEL,"Population, total",SP.POP.TOTL,1990,9967379.0,0.806
91,Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,76.05195122,0.806
92,Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,1990,205332000000.0,0.806
95,Belize,BLZ,"Population, total",SP.POP.TOTL,1990,187552.0,0.613
96,Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,71.242,0.613
97,Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,1990,412086445.5,0.613
99,Belize,BLZ,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,17.25413934,0.613
100,Benin,BEN,"Population, total",SP.POP.TOTL,1990,4978496.0,0.348
101,Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,53.812,0.348
102,Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,1990,1959965244.0,0.348
104,Benin,BEN,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,34.65494536,0.348
105,Bhutan,BTN,"Population, total",SP.POP.TOTL,1990,530804.0,..
106,Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,52.878,..
107,Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,1990,299787275.8,..
109,Bhutan,BTN,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,34.37769466,..
110,Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,1990,4463423.0,..
111,Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,70.877,..
115,Botswana,BWA,"Population, total",SP.POP.TOTL,1990,1286756.0,0.57
116,Botswana,BWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,59.191,0.57
117,Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,1990,3790567052.0,0.57
119,Botswana,BWA,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,4.526150858,0.57
120,Brazil,BRA,"Population, total",SP.POP.TOTL,1990,149003223.0,0.613
121,Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,66.343,0.613
122,Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,1990,461952000000.0,0.613
124,Brazil,BRA,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,6.8733008589999995,0.613
125,Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,1990,258721.0,0.768
126,Brunei Darussalam,BRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,70.185,0.768
127,Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,1990,3520551724.0,0.768
129,Brunei Darussalam,BRN,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,0.9661416709999999,0.768
130,Bulgaria,BGR,"Population, total",SP.POP.TOTL,1990,8718289.0,0.694
131,Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,71.64146341,0.694
132,Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,1990,20632090909.0,0.694
134,Bulgaria,BGR,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,17.74596502,0.694
135,Burkina Faso,BFA,"Population, total",SP.POP.TOTL,1990,8811034.0,..
136,Burkina Faso,BFA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,49.45399999999999,..
137,Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,1990,3101301781.0,..
139,Burkina Faso,BFA,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,27.95002227,..
140,Burundi,BDI,"Population, total",SP.POP.TOTL,1990,5438957.0,0.295
141,Burundi,BDI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,47.82899999999999,0.295
142,Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,1990,1132101253.0,0.295
144,Burundi,BDI,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,51.05685018,0.295
145,Cabo Verde,CPV,"Population, total",SP.POP.TOTL,1990,337950.0,..
146,Cabo Verde,CPV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,64.676,..
147,Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,1990,306891107.3,..
149,Cabo Verde,CPV,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,14.39070453,..
150,Cambodia,KHM,"Population, total",SP.POP.TOTL,1990,8975597.0,0.384
151,Cambodia,KHM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,53.595,0.384
155,Cameroon,CMR,"Population, total",SP.POP.TOTL,1990,11780088.0,0.445
156,Cameroon,CMR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,53.361999999999995,0.445
157,Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,1990,11151578051.0,0.445
159,Cameroon,CMR,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,23.99487034,0.445
160,Canada,CAN,"Population, total",SP.POP.TOTL,1990,27691138.0,0.85
161,Canada,CAN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,77.42195122,0.85
162,Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1990,593930000000.0,0.85
165,Central African Republic,CAF,"Population, total",SP.POP.TOTL,1990,2806734.0,0.32
166,Central African Republic,CAF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,49.104,0.32
167,Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,1990,1440711396.0,0.32
170,Chad,TCD,"Population, total",SP.POP.TOTL,1990,5963252.0,..
171,Chad,TCD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,47.019,..
172,Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,1990,1738605558.0,..
174,Chad,TCD,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,27.8887351,..
175,Chile,CHL,"Population, total",SP.POP.TOTL,1990,13274623.0,0.703
176,Chile,CHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,73.509,0.703
177,Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,1990,33113887818.0,0.703
179,Chile,CHL,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,8.236522314,0.703
180,China,CHN,"Population, total",SP.POP.TOTL,1990,1135185000.0,0.501
181,China,CHN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,69.145,0.501
182,China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1990,360858000000.0,0.501
184,China,CHN,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,26.58430812,0.501
185,Colombia,COL,"Population, total",SP.POP.TOTL,1990,33102575.0,0.6
186,Colombia,COL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,69.75,0.6
187,Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,1990,47844090710.0,0.6
189,Colombia,COL,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,17.066781,0.6
190,Comoros,COM,"Population, total",SP.POP.TOTL,1990,411594.0,..
191,Comoros,COM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,56.677,..
192,Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,1990,429622147.7,..
194,Comoros,COM,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,29.37590835,..
195,Costa Rica,CRI,"Population, total",SP.POP.TOTL,1990,3119433.0,0.655
196,Costa Rica,CRI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,75.654,0.655
197,Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,1990,5711687787.0,0.655
199,Costa Rica,CRI,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,15.78742116,0.655
200,Croatia,HRV,"Population, total",SP.POP.TOTL,1990,4777368.0,0.67
201,Croatia,HRV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,72.1704878,0.67
205,Cuba,CUB,"Population, total",SP.POP.TOTL,1990,10596987.0,0.676
206,Cuba,CUB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,74.638,0.676
207,Cuba,CUB,GDP (current US$),NY.GDP.MKTP.CD,1990,28645436569.0,0.676
209,Cuba,CUB,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,13.04054905,0.676
210,Cyprus,CYP,"Population, total",SP.POP.TOTL,1990,766615.0,0.731
211,Cyprus,CYP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,76.554,0.731
212,Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,1990,5591130218.0,0.731
214,Cyprus,CYP,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,6.8591767820000005,0.731
215,Denmark,DNK,"Population, total",SP.POP.TOTL,1990,5140939.0,0.799
216,Denmark,DNK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,74.80536585,0.799
217,Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,1990,138247000000.0,0.799
219,Denmark,DNK,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,3.287367875,0.799
220,Djibouti,DJI,"Population, total",SP.POP.TOTL,1990,590398.0,..
221,Djibouti,DJI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,56.678000000000004,..
225,Dominica,DMA,"Population, total",SP.POP.TOTL,1990,70419.0,..
227,Dominica,DMA,GDP (current US$),NY.GDP.MKTP.CD,1990,201428730.0,..
229,Dominica,DMA,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,16.34097432,..
230,Dominican Republic,DOM,"Population, total",SP.POP.TOTL,1990,7133494.0,0.593
231,Dominican Republic,DOM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,66.574,0.593
232,Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,1990,7073675545.0,0.593
234,Dominican Republic,DOM,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,13.42282387,0.593
235,Ecuador,ECU,"Population, total",SP.POP.TOTL,1990,10230934.0,0.642
236,Ecuador,ECU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,68.899,0.642
237,Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,1990,15239278100.0,0.642
239,Ecuador,ECU,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,20.52100539,0.642
240,El Salvador,SLV,"Population, total",SP.POP.TOTL,1990,5270079.0,0.529
241,El Salvador,SLV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,64.0,0.529
242,El Salvador,SLV,GDP (current US$),NY.GDP.MKTP.CD,1990,4817542204.0,0.529
244,El Salvador,SLV,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,16.01367717,0.529
245,Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,1990,419188.0,..
246,Equatorial Guinea,GNQ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,48.775,..
247,Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1990,112119406.5,..
250,Eritrea,ERI,"Population, total",SP.POP.TOTL,1990,2258653.0,..
251,Eritrea,ERI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,49.588,..
255,Estonia,EST,"Population, total",SP.POP.TOTL,1990,1569174.0,0.73
256,Estonia,EST,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,69.47560976,0.73
260,Ethiopia,ETH,"Population, total",SP.POP.TOTL,1990,47887865.0,..
261,Ethiopia,ETH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,47.099,..
262,Ethiopia,ETH,GDP (current US$),NY.GDP.MKTP.CD,1990,12175166763.0,..
264,Ethiopia,ETH,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,49.49124803,..
265,Fiji,FJI,"Population, total",SP.POP.TOTL,1990,728573.0,0.64
266,Fiji,FJI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,65.37899999999999,0.64
267,Fiji,FJI,GDP (current US$),NY.GDP.MKTP.CD,1990,1337024782.0,0.64
269,Fiji,FJI,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,17.95793434,0.64
270,Finland,FIN,"Population, total",SP.POP.TOTL,1990,4986431.0,0.784
271,Finland,FIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,74.81317073,0.784
272,Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,1990,141438000000.0,0.784
274,Finland,FIN,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,5.396937082000001,0.784
275,France,FRA,"Population, total",SP.POP.TOTL,1990,58235697.0,0.78
276,France,FRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,76.6,0.78
277,France,FRA,GDP (current US$),NY.GDP.MKTP.CD,1990,1269180000000.0,0.78
279,France,FRA,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,3.1368350310000004,0.78
280,Gabon,GAB,"Population, total",SP.POP.TOTL,1990,949488.0,0.619
281,Gabon,GAB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,60.965,0.619
282,Gabon,GAB,GDP (current US$),NY.GDP.MKTP.CD,1990,5952293766.0,0.619
284,Gabon,GAB,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,7.324447735,0.619
285,Georgia,GEO,"Population, total",SP.POP.TOTL,1990,4802000.0,..
286,Georgia,GEO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,70.38600000000001,..
287,Georgia,GEO,GDP (current US$),NY.GDP.MKTP.CD,1990,7753501868.0,..
289,Georgia,GEO,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,30.0,..
290,Germany,DEU,"Population, total",SP.POP.TOTL,1990,79433029.0,0.801
291,Germany,DEU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,75.2277561,0.801
292,Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1990,1771670000000.0,0.801
295,Ghana,GHA,"Population, total",SP.POP.TOTL,1990,14773277.0,0.454
296,Ghana,GHA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,56.776,0.454
297,Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,1990,5889174825.0,0.454
299,Ghana,GHA,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,44.84761747,0.454
300,Greece,GRC,"Population, total",SP.POP.TOTL,1990,10196792.0,0.753
301,Greece,GRC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,76.93902439,0.753
302,Greece,GRC,GDP (current US$),NY.GDP.MKTP.CD,1990,97891090929.0,0.753
305,Grenada,GRD,"Population, total",SP.POP.TOTL,1990,96331.0,..
306,Grenada,GRD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,69.598,..
307,Grenada,GRD,GDP (current US$),NY.GDP.MKTP.CD,1990,278098763.0,..
309,Grenada,GRD,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,8.884794805,..
310,Guatemala,GTM,"Population, total",SP.POP.TOTL,1990,9263813.0,0.477
311,Guatemala,GTM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,62.261,0.477
312,Guatemala,GTM,GDP (current US$),NY.GDP.MKTP.CD,1990,7650125217.0,0.477
314,Guatemala,GTM,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,25.87915982,0.477
315,Guinea,GIN,"Population, total",SP.POP.TOTL,1990,6352283.0,0.278
316,Guinea,GIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,49.986999999999995,0.278
317,Guinea,GIN,GDP (current US$),NY.GDP.MKTP.CD,1990,2666616177.0,0.278
319,Guinea,GIN,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,24.68894706,0.278
320,Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,1990,975261.0,..
321,Guinea-Bissau,GNB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,47.095,..
322,Guinea-Bissau,GNB,GDP (current US$),NY.GDP.MKTP.CD,1990,243961995.5,..
324,Guinea-Bissau,GNB,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,56.93604860000001,..
325,Guyana,GUY,"Population, total",SP.POP.TOTL,1990,743309.0,0.537
326,Guyana,GUY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,63.287,0.537
327,Guyana,GUY,GDP (current US$),NY.GDP.MKTP.CD,1990,396582263.3,0.537
329,Guyana,GUY,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,38.12958971,0.537
330,Haiti,HTI,"Population, total",SP.POP.TOTL,1990,7037917.0,0.412
331,Haiti,HTI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,54.265,0.412
332,Haiti,HTI,GDP (current US$),NY.GDP.MKTP.CD,1990,3096289800.0,0.412
334,Haiti,HTI,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,29.73675139,0.412
335,Honduras,HND,"Population, total",SP.POP.TOTL,1990,4955303.0,0.508
336,Honduras,HND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,66.723,0.508
337,Honduras,HND,GDP (current US$),NY.GDP.MKTP.CD,1990,4923009552.0,0.508
339,Honduras,HND,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,24.19137326,0.508
340,Hungary,HUN,"Population, total",SP.POP.TOTL,1990,10373988.0,0.704
341,Hungary,HUN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,69.31560976,0.704
345,Iceland,ISL,"Population, total",SP.POP.TOTL,1990,254826.0,0.804
346,Iceland,ISL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,78.03634146,0.804
347,Iceland,ISL,GDP (current US$),NY.GDP.MKTP.CD,1990,6478459747.0,0.804
350,India,IND,"Population, total",SP.POP.TOTL,1990,873277798.0,0.431
351,India,IND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,57.865,0.431
352,India,IND,GDP (current US$),NY.GDP.MKTP.CD,1990,320979000000.0,0.431
354,India,IND,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,26.89643825,0.431
355,Indonesia,IDN,"Population, total",SP.POP.TOTL,1990,181413402.0,0.525
356,Indonesia,IDN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,62.32,0.525
357,Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1990,106141000000.0,0.525
359,Indonesia,IDN,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,21.5487236,0.525
360,Iraq,IRQ,"Population, total",SP.POP.TOTL,1990,17419113.0,0.574
361,Iraq,IRQ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,66.01100000000001,0.574
362,Iraq,IRQ,GDP (current US$),NY.GDP.MKTP.CD,1990,179886000000.0,0.574
364,Iraq,IRQ,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,8.248862346000001,0.574
365,Ireland,IRL,"Population, total",SP.POP.TOTL,1990,3513974.0,0.764
366,Ireland,IRL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,74.80909756,0.764
367,Ireland,IRL,GDP (current US$),NY.GDP.MKTP.CD,1990,49364679953.0,0.764
370,Israel,ISR,"Population, total",SP.POP.TOTL,1990,4660000.0,0.792
371,Israel,ISR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,76.60731707,0.792
372,Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1990,59011278706.0,0.792
375,Italy,ITA,"Population, total",SP.POP.TOTL,1990,56719240.0,0.769
376,Italy,ITA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,76.97073171,0.769
377,Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1990,1181220000000.0,0.769
379,Italy,ITA,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1990,3.182368706,0.769
380,Jamaica,JAM,"Population, total",SP.POP.TOTL,1990,2419906.0,0.641
381,Jamaica,JAM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,73.204,0.641
