,country_name,indicator_name,year,value,hdi
16177,Chile,"GNI per capita, Atlas method (current US$)",1990,2350.0,0.703
16496,China,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,26.584308118377106,0.501
16575,China,GDP (current US$),1990,360857912565.966,0.501
16578,China,GDP per capita (current US$),1990,317.884673040928,0.501
16632,China,"Life expectancy at birth, total (years)",1990,69.145,0.501
16797,China,"Population, total",1990,1135185000.0,0.501
16881,China,"GNI per capita, Atlas method (current US$)",1990,330.0,0.501
17168,Colombia,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,17.066781000702697,0.6
17249,Colombia,GDP (current US$),1990,47844090709.9908,0.6
17252,Colombia,GDP per capita (current US$),1990,1445.32836826111,0.6
17310,Colombia,"Life expectancy at birth, total (years)",1990,69.75,0.6
17469,Colombia,"Population, total",1990,33102575.0,0.6
17539,Colombia,"GNI per capita, Atlas method (current US$)",1990,1330.0,0.6
18398,Costa Rica,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,15.787421160150002,0.655
18481,Costa Rica,GDP (current US$),1990,5711687786.75989,0.655
18484,Costa Rica,GDP per capita (current US$),1990,1831.00191180894,0.655
18540,Costa Rica,"Life expectancy at birth, total (years)",1990,75.654,0.655
18696,Costa Rica,"Population, total",1990,3119433.0,0.655
18788,Costa Rica,"GNI per capita, Atlas method (current US$)",1990,1750.0,0.655
19151,Cuba,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,13.0405490537015,0.676
19219,Cuba,GDP (current US$),1990,28645436569.1489,0.676
19222,Cuba,GDP per capita (current US$),1990,2703.16803909913,0.676
19264,Cuba,"Life expectancy at birth, total (years)",1990,74.638,0.676
19413,Cuba,"Population, total",1990,10596987.0,0.676
19495,Cuba,"GNI per capita, Atlas method (current US$)",1990,2650.0,0.676
19656,Cyprus,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,6.859176782358801,0.731
19735,Cyprus,GDP (current US$),1990,5591130217.66965,0.731
19738,Cyprus,GDP per capita (current US$),1990,9641.57527301293,0.731
19793,Cyprus,"Life expectancy at birth, total (years)",1990,76.554,0.731
19938,Cyprus,"Population, total",1990,766615.0,0.731
20028,Cyprus,"GNI per capita, Atlas method (current US$)",1990,9510.0,0.731
20327,Denmark,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,3.28736787500157,0.799
20409,Denmark,GDP (current US$),1990,138247285815.855,0.799
20412,Denmark,GDP per capita (current US$),1990,26891.4464489571,0.799
20470,Denmark,"Life expectancy at birth, total (years)",1990,74.8053658536585,0.799
20591,Denmark,"Population, total",1990,5140939.0,0.799
20683,Denmark,"GNI per capita, Atlas method (current US$)",1990,24370.0,0.799
21424,Dominican Republic,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,13.422823866322998,0.593
21499,Dominican Republic,GDP (current US$),1990,7073675544.808471,0.593
21502,Dominican Republic,GDP per capita (current US$),1990,991.614424124905,0.593
21557,Dominican Republic,"Life expectancy at birth, total (years)",1990,66.574,0.593
21706,Dominican Republic,"Population, total",1990,7133494.0,0.593
21753,Dominican Republic,"GNI per capita, Atlas method (current US$)",1990,870.0,0.593
22054,Ecuador,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,20.521005387811503,0.642
22130,Ecuador,GDP (current US$),1990,15239278100.3502,0.642
22133,Ecuador,GDP per capita (current US$),1990,1489.52950926574,0.642
22187,Ecuador,"Life expectancy at birth, total (years)",1990,68.899,0.642
22349,Ecuador,"Population, total",1990,10230934.0,0.642
22410,Ecuador,"GNI per capita, Atlas method (current US$)",1990,1370.0,0.642
22708,El Salvador,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,16.0136771698893,0.529
22783,El Salvador,GDP (current US$),1990,4817542204.02673,0.529
22786,El Salvador,GDP per capita (current US$),1990,914.130927454167,0.529
22841,El Salvador,"Life expectancy at birth, total (years)",1990,64.0,0.529
22995,El Salvador,"Population, total",1990,5270079.0,0.529
23050,El Salvador,"GNI per capita, Atlas method (current US$)",1990,900.0,0.529
24263,Fiji,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,17.9579343434343,0.64
24320,Fiji,GDP (current US$),1990,1337024782.22702,0.64
24323,Fiji,GDP per capita (current US$),1990,1835.12809591767,0.64
24363,Fiji,"Life expectancy at birth, total (years)",1990,65.37899999999999,0.64
24491,Fiji,"Population, total",1990,728573.0,0.64
24542,Fiji,"GNI per capita, Atlas method (current US$)",1990,1790.0,0.64
24770,Finland,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,5.396937081542231,0.784
24846,Finland,GDP (current US$),1990,141438345513.917,0.784
24849,Finland,GDP per capita (current US$),1990,28364.6450765922,0.784
24907,Finland,"Life expectancy at birth, total (years)",1990,74.8131707317073,0.784
25033,Finland,"Population, total",1990,4986431.0,0.784
25117,Finland,"GNI per capita, Atlas method (current US$)",1990,26000.0,0.784
25454,France,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,3.13683503140822,0.78
25529,France,GDP (current US$),1990,1269179616913.63,0.78
25532,France,GDP per capita (current US$),1990,21793.8426479832,0.78
25588,France,"Life expectancy at birth, total (years)",1990,76.6,0.78
25710,France,"Population, total",1990,58235697.0,0.78
25797,France,"GNI per capita, Atlas method (current US$)",1990,20640.0,0.78
26133,Gabon,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,7.32444773540664,0.619
26209,Gabon,GDP (current US$),1990,5952293765.84468,0.619
26212,Gabon,GDP per capita (current US$),1990,6268.95101975453,0.619
26266,Gabon,"Life expectancy at birth, total (years)",1990,60.965,0.619
26412,Gabon,"Population, total",1990,949488.0,0.619
26463,Gabon,"GNI per capita, Atlas method (current US$)",1990,4820.0,0.619
26777,Germany,GDP (current US$),1990,1771671207359.88,0.801
26780,Germany,GDP per capita (current US$),1990,22303.9613327585,0.801
26833,Germany,"Life expectancy at birth, total (years)",1990,75.227756097561,0.801
26951,Germany,"Population, total",1990,79433029.0,0.801
27001,Germany,"GNI per capita, Atlas method (current US$)",1990,21300.0,0.801
27290,Ghana,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,44.847617465929396,0.454
27365,Ghana,GDP (current US$),1990,5889174825.4869995,0.454
27368,Ghana,GDP per capita (current US$),1990,398.637000137952,0.454
27423,Ghana,"Life expectancy at birth, total (years)",1990,56.776,0.454
27582,Ghana,"Population, total",1990,14773277.0,0.454
27656,Ghana,"GNI per capita, Atlas method (current US$)",1990,400.0,0.454
27969,Greece,GDP (current US$),1990,97891090928.6328,0.753
27972,Greece,GDP per capita (current US$),1990,9600.18512965969,0.753
28024,Greece,"Life expectancy at birth, total (years)",1990,76.9390243902439,0.753
28146,Greece,"Population, total",1990,10196792.0,0.753
28230,Greece,"GNI per capita, Atlas method (current US$)",1990,8970.0,0.753
28522,Guatemala,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,25.879159820107102,0.477
28598,Guatemala,GDP (current US$),1990,7650125217.35253,0.477
28601,Guatemala,GDP per capita (current US$),1990,825.807388097378,0.477
28655,Guatemala,"Life expectancy at birth, total (years)",1990,62.261,0.477
28812,Guatemala,"Population, total",1990,9263813.0,0.477
28867,Guatemala,"GNI per capita, Atlas method (current US$)",1990,910.0,0.477
29181,Guinea,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,24.6889470604942,0.278
29238,Guinea,GDP (current US$),1990,2666616176.91609,0.278
29241,Guinea,GDP per capita (current US$),1990,419.788629838451,0.278
29295,Guinea,"Life expectancy at birth, total (years)",1990,49.986999999999995,0.278
29454,Guinea,"Population, total",1990,6352283.0,0.278
29538,Guinea,"GNI per capita, Atlas method (current US$)",1990,410.0,0.278
30276,Guyana,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,38.129589714507105,0.537
30329,Guyana,GDP (current US$),1990,396582263.291139,0.537
30332,Guyana,GDP per capita (current US$),1990,533.536205388525,0.537
30380,Guyana,"Life expectancy at birth, total (years)",1990,63.287,0.537
30523,Guyana,"Population, total",1990,743309.0,0.537
30566,Guyana,"GNI per capita, Atlas method (current US$)",1990,400.0,0.537
30739,Haiti,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,29.7367513854808,0.412
30813,Haiti,GDP (current US$),1990,3096289800.0,0.412
30816,Haiti,GDP per capita (current US$),1990,439.944062994775,0.412
30869,Haiti,"Life expectancy at birth, total (years)",1990,54.265,0.412
31015,Haiti,"Population, total",1990,7037917.0,0.412
31066,Haiti,"GNI per capita, Atlas method (current US$)",1990,420.0,0.412
31336,Honduras,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,24.191373257298398,0.508
31412,Honduras,GDP (current US$),1990,4923009551.51561,0.508
31415,Honduras,GDP per capita (current US$),1990,993.483052704469,0.508
31465,Honduras,"Life expectancy at birth, total (years)",1990,66.723,0.508
31606,Honduras,"Population, total",1990,4955303.0,0.508
31676,Honduras,"GNI per capita, Atlas method (current US$)",1990,1110.0,0.508
31967,India,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,26.896438249964103,0.431
32051,India,GDP (current US$),1990,320979026419.633,0.431
32054,India,GDP per capita (current US$),1990,367.556609311203,0.431
32107,India,"Life expectancy at birth, total (years)",1990,57.865,0.431
32267,India,"Population, total",1990,873277798.0,0.431
32335,India,"GNI per capita, Atlas method (current US$)",1990,380.0,0.431
32695,Indonesia,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,21.548723601360397,0.525
32777,Indonesia,GDP (current US$),1990,106140727357.035,0.525
32780,Indonesia,GDP per capita (current US$),1990,585.076549951004,0.525
32835,Indonesia,"Life expectancy at birth, total (years)",1990,62.32,0.525
33001,Indonesia,"Population, total",1990,181413402.0,0.525
33088,Indonesia,"GNI per capita, Atlas method (current US$)",1990,560.0,0.525
33445,Iraq,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,8.24886234611499,0.574
33511,Iraq,GDP (current US$),1990,179885815374.719,0.574
33514,Iraq,GDP per capita (current US$),1990,10326.9216621259,0.574
33557,Iraq,"Life expectancy at birth, total (years)",1990,66.01100000000001,0.574
33699,Iraq,"Population, total",1990,17419113.0,0.574
33735,Iraq,"GNI per capita, Atlas method (current US$)",1990,7050.0,0.574
33907,Ireland,GDP (current US$),1990,49364679953.1067,0.764
33910,Ireland,GDP per capita (current US$),1990,14048.1062048571,0.764
33959,Ireland,"Life expectancy at birth, total (years)",1990,74.80909756097559,0.764
34077,Ireland,"Population, total",1990,3513974.0,0.764
34152,Ireland,"GNI per capita, Atlas method (current US$)",1990,12560.0,0.764
34475,Israel,GDP (current US$),1990,59011278705.5248,0.792
34478,Israel,GDP per capita (current US$),1990,12663.3645290826,0.792
34530,Israel,"Life expectancy at birth, total (years)",1990,76.6073170731707,0.792
34675,Israel,"Population, total",1990,4660000.0,0.792
34756,Israel,"GNI per capita, Atlas method (current US$)",1990,12120.0,0.792
35049,Italy,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,3.18236870629884,0.769
35121,Italy,GDP (current US$),1990,1181222652714.93,0.769
35124,Italy,GDP per capita (current US$),1990,20825.7842085848,0.769
35182,Italy,"Life expectancy at birth, total (years)",1990,76.9707317073171,0.769
35304,Italy,"Population, total",1990,56719240.0,0.769
35397,Italy,"GNI per capita, Atlas method (current US$)",1990,18660.0,0.769
35773,Jamaica,GDP (current US$),1990,4592224067.37194,0.641
35776,Jamaica,GDP per capita (current US$),1990,1897.68696278779,0.641
35832,Jamaica,"Life expectancy at birth, total (years)",1990,73.204,0.641
35985,Jamaica,"Population, total",1990,2419906.0,0.641
36063,Jamaica,"GNI per capita, Atlas method (current US$)",1990,1770.0,0.641
36438,Japan,GDP (current US$),1990,3132817652848.04,0.816
36441,Japan,GDP per capita (current US$),1990,25359.34702031,0.816
36489,Japan,"Life expectancy at birth, total (years)",1990,78.8368292682927,0.816
36609,Japan,"Population, total",1990,123537000.0,0.816
36676,Japan,"GNI per capita, Atlas method (current US$)",1990,27810.0,0.816
36953,Jordan,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,6.881578109569651,0.616
37032,Jordan,GDP (current US$),1990,4160003917.4325795,0.616
37035,Jordan,GDP per capita (current US$),1990,1166.6102760972901,0.616
37093,Jordan,"Life expectancy at birth, total (years)",1990,69.872,0.616
37251,Jordan,"Population, total",1990,3565890.0,0.616
37337,Jordan,"GNI per capita, Atlas method (current US$)",1990,1270.0,0.616
37673,Kenya,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,25.3141333603756,0.467
37751,Kenya,GDP (current US$),1990,8572359162.856309,0.467
37754,Kenya,GDP per capita (current US$),1990,361.328188915652,0.467
37809,Kenya,"Life expectancy at birth, total (years)",1990,57.406000000000006,0.467
37967,Kenya,"Population, total",1990,23724579.0,0.467
38032,Kenya,"GNI per capita, Atlas method (current US$)",1990,370.0,0.467
38815,Kuwait,GDP (current US$),1990,18427777777.7778,0.712
38816,Kuwait,GDP per capita (current US$),1990,8794.63122894273,0.712
38857,Kuwait,"Life expectancy at birth, total (years)",1990,72.15,0.712
38991,Kuwait,"Population, total",1990,2095344.0,0.712
39734,Lesotho,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,12.1616496818622,0.488
39791,Lesotho,GDP (current US$),1990,596415104.549144,0.488
39794,Lesotho,GDP per capita (current US$),1990,350.06083916752,0.488
39835,Lesotho,"Life expectancy at birth, total (years)",1990,59.836999999999996,0.488
39965,Lesotho,"Population, total",1990,1703747.0,0.488
40036,Lesotho,"GNI per capita, Atlas method (current US$)",1990,550.0,0.488
40308,Luxembourg,GDP (current US$),1990,13229247947.8513,0.791
40311,Luxembourg,GDP per capita (current US$),1990,34645.1432443401,0.791
40358,Luxembourg,"Life expectancy at birth, total (years)",1990,75.0104146341463,0.791
40445,Luxembourg,"Population, total",1990,381850.0,0.791
40487,Luxembourg,"GNI per capita, Atlas method (current US$)",1990,31500.0,0.791
41400,Malawi,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,38.4826059742569,0.303
41454,Malawi,GDP (current US$),1990,1880771556.30474,0.303
41457,Malawi,GDP per capita (current US$),1990,199.986342315353,0.303
41513,Malawi,"Life expectancy at birth, total (years)",1990,46.096000000000004,0.303
41671,Malawi,"Population, total",1990,9404500.0,0.303
41754,Malawi,"GNI per capita, Atlas method (current US$)",1990,180.0,0.303
41994,Malaysia,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,15.216533284067099,0.644
42070,Malaysia,GDP (current US$),1990,44024178343.0071,0.644
42073,Malaysia,GDP per capita (current US$),1990,2441.74199054895,0.644
42130,Malaysia,"Life expectancy at birth, total (years)",1990,70.865,0.644
42288,Malaysia,"Population, total",1990,18029824.0,0.644
42373,Malaysia,"GNI per capita, Atlas method (current US$)",1990,2400.0,0.644
43086,Mali,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,37.417679388201705,0.231
43138,Mali,GDP (current US$),1990,2681912030.4938397,0.231
43141,Mali,GDP per capita (current US$),1990,317.38930690692797,0.231
43193,Mali,"Life expectancy at birth, total (years)",1990,45.746,0.231
43345,Mali,"Population, total",1990,8449913.0,0.231
43419,Mali,"GNI per capita, Atlas method (current US$)",1990,290.0,0.231
43672,Mauritania,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,26.554647799175,0.378
43725,Mauritania,GDP (current US$),1990,1019600785.2721199,0.378
43728,Mauritania,GDP per capita (current US$),1990,501.193398405245,0.378
43784,Mauritania,"Life expectancy at birth, total (years)",1990,59.688,0.378
43942,Mauritania,"Population, total",1990,2034346.0,0.378
44023,Mauritania,"GNI per capita, Atlas method (current US$)",1990,480.0,0.378
44299,Mauritius,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,10.8874239350913,0.62
44382,Mauritius,GDP (current US$),1990,2653480001.34558,0.62
44385,Mauritius,GDP per capita (current US$),1990,2506.17931226708,0.62
44442,Mauritius,"Life expectancy at birth, total (years)",1990,69.4048780487805,0.62
44602,Mauritius,"Population, total",1990,1058775.0,0.62
44694,Mauritius,"GNI per capita, Atlas method (current US$)",1990,2430.0,0.62
45057,Mexico,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,6.66709637889891,0.652
45138,Mexico,GDP (current US$),1990,261253582805.945,0.652
45141,Mexico,GDP per capita (current US$),1990,3112.26870598472,0.652
45197,Mexico,"Life expectancy at birth, total (years)",1990,70.866,0.652
45364,Mexico,"Population, total",1990,83943132.0,0.652
45448,Mexico,"GNI per capita, Atlas method (current US$)",1990,2790.0,0.652
45811,Mongolia,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,12.4738366427747,0.583
45874,Mongolia,GDP (current US$),1990,2560785660.0,0.583
45877,Mongolia,GDP per capita (current US$),1990,1172.4430658221002,0.583
45928,Mongolia,"Life expectancy at birth, total (years)",1990,60.268,0.583
46066,Mongolia,"Population, total",1990,2184145.0,0.583
46114,Mongolia,"GNI per capita, Atlas method (current US$)",1990,1430.0,0.583
46311,Morocco,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,15.0951754132603,0.458
46395,Morocco,GDP (current US$),1990,30180108561.9305,0.458
46398,Morocco,GDP per capita (current US$),1990,1206.0118379718301,0.458
46456,Morocco,"Life expectancy at birth, total (years)",1990,64.732,0.458
46617,Morocco,"Population, total",1990,24807462.0,0.458
46715,Morocco,"GNI per capita, Atlas method (current US$)",1990,1160.0,0.458
47169,Mozambique,"Life expectancy at birth, total (years)",1990,45.261,0.217
47327,Mozambique,"Population, total",1990,12987292.0,0.217
47559,Namibia,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,9.06896228619991,0.579
47608,Namibia,GDP (current US$),1990,2785764518.01845,0.579
47611,Namibia,GDP per capita (current US$),1990,1944.1376211391898,0.579
47659,Namibia,"Life expectancy at birth, total (years)",1990,61.608000000000004,0.579
47785,Namibia,"Population, total",1990,1432905.0,0.579
47829,Namibia,"GNI per capita, Atlas method (current US$)",1990,1990.0,0.579
48062,Nepal,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,48.8028931693355,0.38
48136,Nepal,GDP (current US$),1990,3627562402.66027,0.38
48139,Nepal,GDP per capita (current US$),1990,191.878904234015,0.38
48193,Nepal,"Life expectancy at birth, total (years)",1990,54.403999999999996,0.38
48349,Nepal,"Population, total",1990,18905478.0,0.38
48413,Nepal,"GNI per capita, Atlas method (current US$)",1990,210.0,0.38
48660,Netherlands,"Agriculture, forestry, and fishing, value added (% of GDP)",1990,4.012240590091181,0.83
48739,Netherlands,GDP (current US$),1990,318330511920.61,0.83
